"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"10118194-0001LF";"10118194-0001LF";"AMPHENOL_10118194-0001LF";"J1";"Micro Usb, 2.0 Type b, Rcpt, Smt";"";
"1";"1140084168";"1140084168";"AMPHENOL_1140084168";"J5";"Conn; IC Socket; Micro SD; Right Angle; PCB Mount; MicroSD Ser.";"";
"1";"61302221021";"61302221021";"61302221021";"J4";"WR-PHD 2.54mm Angled Dual Pin Header, 22 Pins =>Code : Con_BTB_PHD_2.54_2_61302221021";"";
"1";"ABMM2-8.000MHZ-E2-T";"ABMM2-8.000MHZ-E2-T";"ABMM2";"Y1";"Abracon 8MHz Crystal Unit +/-20ppm SMD 4-Pin 6 x 3.6 x 1.2mm";"";
"1";"ADS1299IPAG";"ADS1299IPAG";"QFP50P1200X1200X120-64N";"IC11";"Low-Noise, 8-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements";"";
"4";"C0603X105J8RACTU";"C0603X105J8RACTU";"CAPC1608X95N";"C37, C38, C41, C42";"KEMET - C0603X105J8RACTU - CAP, 1F, 10V, 5%, X7R, 0603, REEL";"";
"5";"CA0612KRX7R9BB102";"CA0612KRX7R9BB102";"CA0612KRX7R9BB102";"CN1, CN2, CN3, CN4, CN6";"Capacitor,ceramic,multilayer,SMT,50V,1pF";"";
"5";"CAY16-2201F4LF";"CAY16-2201F4LF";"RESCAX80P160X320X60-8N";"R1, R2, R3, R4, R5";"Bourns CAY16 Series 2.2k +/-1% Isolated SMT Resistor Array, 4 Resistors, 0.25W total 1206 Package Convex";"";
"2";"CC0402JRNPO9BN180";"CC0402JRNPO9BN180";"C0402";"C24, C27";"CERAMIC-18PF-50V-5%-NPO(0402)";"";
"1";"CC0402KRX7R7BB102";"CC0402KRX7R7BB102";"CAPC1005X55N";"C30";"YAGEO - CC0402KRX7R7BB102 - CERAMIC CAPACITOR 1000PF, 16V, X7R, 10%, 0402, FULL REEL";"";
"2";"CC0402KRX7R7BB103";"CC0402KRX7R7BB103";"CAPC1005X55N";"C4, C7";"CAPACITOR, 0402 10nF +/-10% 16V";"";
"7";"CC0402KRX7R7BB104";"CC0402KRX7R7BB104";"CAPC1005X55N";"C16, C17, C18, C19, C23, C26, C34";"Cap 100nF 16V 0402 SMD 10% X7R Phycomp 100nF Multilayer Ceramic Capacitor (MLCC) 16 V dc +/-10% X7R dielectric Standard max op. temp. +125C";"";
"1";"CC1206MKX5R5BB107";"CC1206MKX5R5BB107";"CAPC3216X125N";"C28";"Multilayer Ceramic Capacitors MLCC - SMD/SMT FACTORY NOT ACCEPTING ORDERS";"";
"2";"F980J107MMAAXE";"F980J107MMAAXE";"CAPPM169X100N";"C39, C43";"Cap Tant Solid 100uF 6.3V M CASE 20% (1.6 X 0.85 X 1mm) Inward L SMD 1608-09 10 Ohm 125C T/R";"";
"5";"GRM155C80J225ME95D";"GRM155C80J225ME95D";"CAPC1005X55N";"C3, C5, C8, C11, C20";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2uF 6.3volts *Derate Voltage/Temp";"";
"1";"GRM155R61C225KE44D";"GRM155R61C225KE44D";"CAPC1005X55N";"C10";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 2.2uF 16volts *Derate Voltage/Temp";"";
"9";"GRM155R70J105KA12D";"GRM155R70J105KA12D";"CAPC1005X55N";"C12, C13, C14, C15, C21, C45, C46, C47, C48";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1.0uF 6.3volts *Derate Voltage/Temp";"";
"7";"GRM188C80G106KE47D";"GRM188C80G106KE47D";"CAPC1608X90N";"C1, C2, C6, C9, C25, C32, C35";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10uF 4volts *Derate Voltage/Temp";"";
"1";"LIS3DHTR";"LIS3DHTR";"PQFN50P300X300X100-16N";"AC1";"Accelerometer 3-Axis 2g/16g 1.8V LGA16 STMicroelectronics LIS3DHTR Accelerometer IC, 3-axis, I2C, SPI 1.71  3.6 V, 16-Pin LGA";"";
"1";"LM2664M6_NOPB";"LM2664M6_NOPB";"SOT95P280X145-6N";"IC1";"1.8V to 5.5Vin Switched Capacitor Voltage Converter";"";
"1";"LTST-C193TBKT-5A";"LTST-C193TBKT-5A";"LEDC1608X45N";"LED1";"Standard LEDs - SMD Blue 470nm 28mcd 20mA";"";
"1";"MCP1754T-3302E_OT";"MCP1754T-3302E_OT";"SOT95P270X145-5N";"PS1";"MICROCHIP - MCP1754T-3302E/OT - LDO, FIXED, 3.3V, 0.15A, -40 TO 125DEG C";"";
"1";"PIC32MX250F128B_I_SS";"PIC32MX250F128B_I_SS";"SSOP28_MC";"U1";"";"";
"2";"PTS810SJK250SMTRLFS";"PTS810SJK250SMTRLFS";"PTS810SJG250SMTRLFS";"S1, S2";"IP40 Black Button Tactile Switch, SPST-NO 50 mA 3mm Surface Mount";"";
"1";"RC0402JR-071ML";"RC0402JR-071ML";"RESC1005X40N";"R6";"YAGEO RC0402 VALUE1";"";
"1";"RC0402JR-07470KL";"RC0402JR-07470KL";"RESC1005X40N";"R7";"RESISTOR, 0402 470k Ohms +/-5% 1/16 W";"";
"2";"REG1117-3.3";"REG1117-3.3";"SOT230P700X180-4N";"IC12, IC15";"800mA,3.3V,LDO Voltage Reg.,REG1117-3.3 Texas Instruments REG1117-3.3, LDO Voltage Regulator, 0.8A, 3.3 V +/-1%, 3.8  15 Vin, 4-Pin SOT-223";"";
"2";"RT0402FRE071KL";"RT0402FRE071KL";"RESC1005X35N";"R8, R9";"Thin Film Resistors - SMD 1K ohm 1% 1/16W";"";
"1";"SN74LVC1G32DCKR";"SN74LVC1G32DCKR";"SOT65P210X110-5N";"IC7";"Single 2-Input Positive-OR Gate";"";
"2";"SSQ-111-02-G-S";"SSQ-111-02-G-S";"SAMTEC_SSQ-111-02-G-S";"J3, J7";"CONN  SOCKET, 2.54MM, THT VERT, 11POS";"";
"1";"TLV70025QDDCRQ1";"TLV70025QDDCRQ1";"SOT95P280X110-5N";"IC3";"Automotive 200-mA Low-IQ Low-Dropout Regulator for Portable Devices";"";
"6";"TPD4E1B06DCKR";"TPD4E1B06DCKR";"SOT65P210X110-6N";"IC4, IC5, IC6, IC8, IC9, IC10";"Texas Instruments TPD4E1B06DCKR Quad Bi-Directional ESD Protection Array, 45W peak, 6-Pin SC-70";"";
"1";"TPS72325DBVR";"TPS72325DBVR";"SOT95P280X145-5N";"IC2";"TEXAS INSTRUMENTS - TPS72325DBVR - LDO, FIXED, -2.5V, 0.2A, SOT-23-5";"";
