"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"61302221021";"61302221021";"61302221021";"J2";"WR-PHD 2.54mm Angled Dual Pin Header, 22 Pins =>Code : Con_BTB_PHD_2.54_2_61302221021";"";
"1";"ADS1299IPAG";"ADS1299IPAG";"QFP50P1200X1200X120-64N";"IC11";"Low-Noise, 8-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements";"";
"5";"CA0612KRX7R9BB102";"CA0612KRX7R9BB102";"CA0612KRX7R9BB102";"CN1, CN2, CN3, CN4, CN6";"Capacitor,ceramic,multilayer,SMT,50V,1pF";"";
"5";"CAY16-2201F4LF";"CAY16-2201F4LF";"RESCAX80P160X320X60-8N";"R1, R2, R3, R4, R5";"Bourns CAY16 Series 2.2k +/-1% Isolated SMT Resistor Array, 4 Resistors, 0.25W total 1206 Package Convex";"";
"1";"CC0402KRX7R7BB102";"CC0402KRX7R7BB102";"CAPC1005X55N";"C30";"YAGEO - CC0402KRX7R7BB102 - CERAMIC CAPACITOR 1000PF, 16V, X7R, 10%, 0402, FULL REEL";"";
"2";"CC0402KRX7R7BB104";"CC0402KRX7R7BB104";"CAPC1005X55N";"C23, C26";"Cap 100nF 16V 0402 SMD 10% X7R Phycomp 100nF Multilayer Ceramic Capacitor (MLCC) 16 V dc +/-10% X7R dielectric Standard max op. temp. +125C";"";
"1";"CC1206MKX5R5BB107";"CC1206MKX5R5BB107";"CAPC3216X125N";"C28";"Multilayer Ceramic Capacitors MLCC - SMD/SMT FACTORY NOT ACCEPTING ORDERS";"";
"5";"GRM155R70J105KA12D";"GRM155R70J105KA12D";"CAPC1005X55N";"C12, C13, C14, C15, C21";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 1.0uF 6.3volts *Derate Voltage/Temp";"";
"1";"GRM188C80G106KE47D";"GRM188C80G106KE47D";"CAPC1608X90N";"C25";"Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 10uF 4volts *Derate Voltage/Temp";"";
"1";"RC0402JR-071ML";"RC0402JR-071ML";"RESC1005X40N";"R6";"YAGEO RC0402 VALUE1";"";
"2";"SSQ-111-03-G-S";"SSQ-111-03-G-S";"SAMTEC_SSQ-111-03-G-S";"J3, J7";"CONN  SOCKET, 2.54MM, THT VERT, 11POS";"";
"6";"TPD4E1B06DCKR";"TPD4E1B06DCKR";"SOT65P210X110-6N";"IC4, IC5, IC6, IC8, IC9, IC10";"Texas Instruments TPD4E1B06DCKR Quad Bi-Directional ESD Protection Array, 45W peak, 6-Pin SC-70";"";
