Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 1) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,S2B-PH-SM4-TB(LF)(SN),JST,S2B-PH-SM4-TB(LF)(SN),https://octopart.com/s2b-ph-sm4-tb%28lf%29%28sn%29-jst-248913,J1,,CONN HEADER SMD R/A 2POS 2MM,1,455-1749-1-ND,,Cut Tape,,0.50899002,,123139,,1,,https://octopart.com/click/track?ak=39ac400e&sig=0e512d4&sid=459&ppid=248913&vpid=1142234&ct=offers,,Digi-Key,455-1749-1-ND,Cut Tape,0.50899002,0.50899002,0.50899002,123139,1,https://octopart.com/click/track?ak=39ac400e&sig=0e512d4&sid=459&ppid=248913&vpid=1142234&ct=offers,
1,61302221021,Würth Elektronik,61302221021,https://octopart.com/61302221021-w%C3%BCrth+elektronik-32855559,J4,,"WR-PHD 2.54mm Angled Dual Pin Header, 22 Pins =>Code : Con_BTB_PHD_2.54_2_61302221021",1,732-5358-ND,710-61302221021,Bag,Bulk,1.29880212,1.29880212,400,857,1,1,https://octopart.com/click/track?ak=39ac400e&sig=032c227&sid=459&ppid=32855559&vpid=116457434&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=02ea1fb&sid=2401&ppid=32855559&vpid=220834278&ct=offers,Digi-Key,732-5358-ND,Bag,1.29880212,1.29880212,1.29880212,400,1,https://octopart.com/click/track?ak=39ac400e&sig=032c227&sid=459&ppid=32855559&vpid=116457434&ct=offers,
1,90120-0768,Molex,90120-0768,https://octopart.com/90120-0768-molex-655453,J3,,"8 way single row straight header Molex C-GRID III Series, Series Number 90120, 2.54mm Pitch 8 Way 1 Row Straight Pin Header, Through Hole",1,WM8090-ND,538-90120-0768,Bag,Tray,1.2285966,1.25492367,1181,1780,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0a0c3b3&sid=459&ppid=655453&vpid=118263384&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=04f47bb&sid=2401&ppid=655453&vpid=37668925&ct=offers,Digi-Key,WM8090-ND,Bag,1.2285966,1.2285966,1.2285966,1181,1,https://octopart.com/click/track?ak=39ac400e&sig=0a0c3b3&sid=459&ppid=655453&vpid=118263384&ct=offers,
1,ABMM2-8.000MHZ-E2-T,Abracon,ABMM2-8.000MHZ-E2-T,https://octopart.com/abmm2-8.000mhz-e2-t-abracon-138521,Y1,,Abracon 8MHz Crystal Unit +/-20ppm SMD 4-Pin 6 x 3.6 x 1.2mm,1,535-9628-1-ND,815-ABMM2-8-E2T,Cut Tape,Tape & Reel,0.63184968,0.82491486,51329,26859,1,1,https://octopart.com/click/track?ak=39ac400e&sig=06f1db9&sid=459&ppid=138521&vpid=2100799&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0d539aa&sid=2401&ppid=138521&vpid=37659863&ct=offers,Digi-Key,535-9628-1-ND,Cut Tape,0.63184968,0.63184968,0.63184968,51329,1,https://octopart.com/click/track?ak=39ac400e&sig=06f1db9&sid=459&ppid=138521&vpid=2100799&ct=offers,
1,ADS1299IPAG,Texas Instruments,ADS1299IPAG,https://octopart.com/ads1299ipag-texas+instruments-24258225,IC11,,"Low-Noise, 8-Channel, 24-Bit Analog-to-Digital Converter for Biopotential Measurements",1,296-35009-ND,595-ADS1299IPAG,Tray,Tube,48.42425742,48.42425742,940,167,1,1,https://octopart.com/click/track?ak=39ac400e&sig=05c4266&sid=459&ppid=24258225&vpid=57142224&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0ac2f2d&sid=2401&ppid=24258225&vpid=57837758&ct=offers,Digi-Key,296-35009-ND,Tray,48.42425742,48.42425742,48.42425742,940,1,https://octopart.com/click/track?ak=39ac400e&sig=05c4266&sid=459&ppid=24258225&vpid=57142224&ct=offers,
5,CAY16-2201F4LF,Bourns,CAY16-2201F4LF,https://octopart.com/cay16-2201f4lf-bourns-2077373,"R1, R2, R3, R4, R5",,"Bourns CAY16 Series 2.2k +/-1% Isolated SMT Resistor Array, 4 Resistors, 0.25W total 1206 Package Convex",5,CAY16-2201F4LFCT-ND,652-CAY16-2201F4LF,Cut Tape,Tape & Reel,0.12285966000000002,0.08775690000000001,23499,15043,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0363771&sid=459&ppid=2077373&vpid=50630166&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,Mouser,652-CAY16-2201F4LF,Tape & Reel,0.08775690000000001,0.4387845000000001,0.4387845000000001,15043,1,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,
9,CC0402KRX7R5BB105,Yageo,CC0402KRX7R5BB105,https://octopart.com/cc0402krx7r5bb105-yageo-51849241,"C12, C13, C14, C15, C21, C22, C24, C27, C29",,Cap Ceramic 1uF 6.3V X7R 10% SMD 0402 125°C Paper T/R,9,311-1702-1-ND,603-CC402KRX7R5BB105,Cut Tape,Tape & Reel,0.23694363000000002,0.22816794,0,5681,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=09c8599&sid=459&ppid=51849241&vpid=193846193&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,Mouser,603-CC402KRX7R5BB105,Tape & Reel,0.22816794,2.05351146,2.05351146,5681,1,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,
1,CC0402KRX7R7BB102,Yageo,CC0402KRX7R7BB102,https://octopart.com/cc0402krx7r7bb102-yageo-11543552,C30,,"YAGEO - CC0402KRX7R7BB102 - CERAMIC CAPACITOR 1000PF, 16V, X7R, 10%, 0402, FULL REEL",1,311-1352-1-ND,603-CC402KRX7R7BB102,Cut Tape,Tape & Reel,0.08775690000000001,0.08775690000000001,687586,241331,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05b935e&sid=2401&ppid=11543552&vpid=45059684&ct=offers,Digi-Key,311-1352-1-ND,Cut Tape,0.08775690000000001,0.08775690000000001,0.08775690000000001,687586,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,
2,CC0402KRX7R7BB103,Yageo,CC0402KRX7R7BB103,https://octopart.com/cc0402krx7r7bb103-yageo-192895,"C4, C7",,"CAPACITOR, 0402 10nF +/-10% 16V",2,311-1042-1-ND,603-CC402KRX7R7BB103,Cut Tape,Tape & Reel,0.08775690000000001,0.08775690000000001,1725105,587756,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0642b1d&sid=2401&ppid=192895&vpid=115233260&ct=offers,Digi-Key,311-1042-1-ND,Cut Tape,0.08775690000000001,0.17551380000000003,0.17551380000000003,1725105,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,
7,CC0402KRX7R7BB104,Yageo,CC0402KRX7R7BB104,https://octopart.com/cc0402krx7r7bb104-yageo-42244624,"C16, C17, C18, C19, C23, C26, C34",,Cap 100nF 16V 0402 SMD 10% X7R Phycomp 100nF Multilayer Ceramic Capacitor (MLCC) 16 V dc +/-10% X7R dielectric Standard max op. temp. +125C,7,311-1338-1-ND,603-CC402KRX7R7BB104,Cut Tape,Tape & Reel,0.08775690000000001,0.08775690000000001,36934825,165348476,1,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=06cc016&sid=2401&ppid=42244624&vpid=115233261&ct=offers,Digi-Key,311-1338-1-ND,Cut Tape,0.08775690000000001,0.6142983000000001,0.6142983000000001,36934825,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,
1,CC1206MKX5R5BB107,Yageo,CC1206MKX5R5BB107,https://octopart.com/cc1206mkx5r5bb107-yageo-29667503,C28,,Multilayer Ceramic Capacitors MLCC - SMD/SMT FACTORY NOT ACCEPTING ORDERS,1,311-1991-1-ND,603-CC126MKX5R5BB107,Cut Tape,Tape & Reel,1.57084851,1.57084851,1852,19,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0d0d724&sid=2401&ppid=29667503&vpid=200005365&ct=offers,Digi-Key,311-1991-1-ND,Cut Tape,1.57084851,1.57084851,1.57084851,1852,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,
1,CDBU0130L,Comchip,CDBU0130L,https://octopart.com/cdbu0130l-comchip-19043157,D1,,"NewCOMCHIP TECHNOLOGY CDBU0130L, SMT Schottky Diode, 35V 100mA, 2-Pin SOD-523F (0603)",1,641-1282-1-ND,750-CDBU0130L,Cut Tape,Tape & Reel,0.38613036,0.38613036,52802,27231,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c2ab93&sid=459&ppid=19043157&vpid=34052633&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0a36eb3&sid=2401&ppid=19043157&vpid=37915439&ct=offers,Digi-Key,641-1282-1-ND,Cut Tape,0.38613036,0.38613036,0.38613036,52802,1,https://octopart.com/click/track?ak=39ac400e&sig=0c2ab93&sid=459&ppid=19043157&vpid=34052633&ct=offers,
2,CC0402JRNPO9BN180,Yageo,CC0402JRNPO9BN180,https://octopart.com/cc0402jrnpo9bn180-yageo-9287405,"C31, C33",,302010016,2,311-1415-1-ND,603-CC402JRNPO9BN180,Cut Tape,Tape & Reel,0.08775690000000001,0.08775690000000001,743850,394353,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=065fa9f&sid=2401&ppid=9287405&vpid=112751514&ct=offers,Digi-Key,311-1415-1-ND,Cut Tape,0.08775690000000001,0.17551380000000003,0.17551380000000003,743850,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,
5,CKCL44X7R1H102M085AA,TDK,CKCL44X7R1H102M085AA,https://octopart.com/ckcl44x7r1h102m085aa-tdk-25948008,"CN1, CN2, CN3, CN4, CN5",,"TDK - CKCL44X7R1H102M085AA - CAP, 1000PF, 50V, 20%, X7R, 0805",5,,,,,,,,,,,,,,,,,,,,
1,DM3CS-SF,Hirose,DM3CS-SF,https://octopart.com/dm3cs-sf-hirose-44525751,J2,,CONN MICRO SD CARD HINGED TYPE,1,HR1972CT-ND,798-DM3CSSF,Cut Tape,Tape & Reel,1.3251291900000002,1.21104522,38778,21662,1,1,https://octopart.com/click/track?ak=39ac400e&sig=09aa85d&sid=459&ppid=44525751&vpid=115641673&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=022c547&sid=2401&ppid=44525751&vpid=115532277&ct=offers,Mouser,798-DM3CSSF,Tape & Reel,1.21104522,1.21104522,1.21104522,21662,1,https://octopart.com/click/track?ak=39ac400e&sig=022c547&sid=2401&ppid=44525751&vpid=115532277&ct=offers,
