Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Unknown],SKU [Unknown],Packaging [Unknown],Unit Price (@ Batch Size: 1) [Unknown],Line Total [Unknown],Batch Total [Unknown],In Stock [Unknown],MOQ [Unknown],URL [Unknown],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
2,CC1206MKX5R5BB107,Yageo,CC1206MKX5R5BB107,https://octopart.com/cc1206mkx5r5bb107-yageo-29667503,"C2,C4",100uF,MLCC,2,311-1991-1-ND,603-CC126MKX5R5BB107,Cut Tape,Tape & Reel,1.5814685800000001,1.5814685800000001,2228,67,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0d0d724&sid=2401&ppid=29667503&vpid=200005365&ct=offers,Digi-Key,311-1991-1-ND,Cut Tape,1.5814685800000001,3.1629371600000002,3.1629371600000002,2228,1,https://octopart.com/click/track?ak=39ac400e&sig=0f83931&sid=459&ppid=29667503&vpid=193847060&ct=offers,
7,GRM188C80G106KE47D,Murata,GRM188C80G106KE47D,https://octopart.com/grm188c80g106ke47d-murata-51112192,"C1,C8,C25,C29,C31,C33,C37",10uF,MLCC,7,490-10469-1-ND,81-GRM188C80G106KE7D,Cut Tape,Tape & Reel,0.15019534,0.15019534,105596,15740,1,1,https://octopart.com/click/track?ak=39ac400e&sig=04a2b4f&sid=459&ppid=51112192&vpid=172161820&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=02a7a75&sid=2401&ppid=51112192&vpid=168801369&ct=offers,Digi-Key,490-10469-1-ND,Cut Tape,0.15019534,1.05136738,1.05136738,105596,1,https://octopart.com/click/track?ak=39ac400e&sig=04a2b4f&sid=459&ppid=51112192&vpid=172161820&ct=offers,
5,GRM155C80J225ME95D,Murata,GRM155C80J225ME95D,https://octopart.com/grm155c80j225me95d-murata-46692779,"C32,C35,C36,C38,C40",2.2uF,MLCC,5,490-10013-1-ND,81-GRM155C80J225ME5D,Cut Tape,Tape & Reel,0.10602024,0.10602024,188960,51833,1,1,https://octopart.com/click/track?ak=39ac400e&sig=087846f&sid=459&ppid=46692779&vpid=172161698&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0adcb5e&sid=2401&ppid=46692779&vpid=170711669&ct=offers,Digi-Key,490-10013-1-ND,Cut Tape,0.10602024,0.5301012,0.5301012,188960,1,https://octopart.com/click/track?ak=39ac400e&sig=087846f&sid=459&ppid=46692779&vpid=172161698&ct=offers,
1,GRM155R61C225KE44D,Murata,GRM155R61C225KE44D,https://octopart.com/grm155r61c225ke44d-murata-51454464,C39,2.2uF,MLCC,1,490-10455-1-ND,81-GRM155R61C225KE4D,Cut Tape,Tape & Reel,0.23854554000000003,0.23854554000000003,297616,78203,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0126cb5&sid=459&ppid=51454464&vpid=172161763&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0ba0596&sid=2401&ppid=51454464&vpid=198297968&ct=offers,Digi-Key,490-10455-1-ND,Cut Tape,0.23854554000000003,0.23854554000000003,0.23854554000000003,297616,1,https://octopart.com/click/track?ak=39ac400e&sig=0126cb5&sid=459&ppid=51454464&vpid=172161763&ct=offers,
9,CC0402KRX7R5BB105,Yageo,CC0402KRX7R5BB105,https://octopart.com/cc0402krx7r5bb105-yageo-51849241,"C6,C7,C14,C17,C18,C19,C21,C22,C27",1uF,MLCC,9,311-1702-1-ND,603-CC402KRX7R5BB105,Cut Tape,Tape & Reel,0.23854554000000003,0.22971052,0,9321,1,1,https://octopart.com/click/track?c=1&ak=39ac400e&sig=09c8599&sid=459&ppid=51849241&vpid=193846193&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,Mouser,603-CC402KRX7R5BB105,Tape & Reel,0.22971052,2.06739468,2.06739468,9321,1,https://octopart.com/click/track?ak=39ac400e&sig=05ecfbf&sid=2401&ppid=51849241&vpid=200005157&ct=offers,
7,CC0402KRX7R7BB104,Yageo,CC0402KRX7R7BB104,https://octopart.com/cc0402krx7r7bb104-yageo-42244624,"C5,C10,C12,C13,C15,C24,C28",0.1uF,MLCC,7,311-1338-1-ND,603-CC402KRX7R7BB104,Cut Tape,Tape & Reel,0.0883502,0.0883502,37334121,165495387,1,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=06cc016&sid=2401&ppid=42244624&vpid=115233261&ct=offers,Digi-Key,311-1338-1-ND,Cut Tape,0.0883502,0.6184514,0.6184514,37334121,1,https://octopart.com/click/track?ak=39ac400e&sig=02ffe17&sid=459&ppid=42244624&vpid=115141203&ct=offers,
1,CC0402KRX7R7BB103,Yageo,CC0402KRX7R7BB103,https://octopart.com/cc0402krx7r7bb103-yageo-192895,C30,0.01uF,MLCC,1,311-1042-1-ND,603-CC402KRX7R7BB103,Cut Tape,Tape & Reel,0.0883502,0.0883502,1663774,589803,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0642b1d&sid=2401&ppid=192895&vpid=115233260&ct=offers,Digi-Key,311-1042-1-ND,Cut Tape,0.0883502,0.0883502,0.0883502,1663774,1,https://octopart.com/click/track?ak=39ac400e&sig=0d9be20&sid=459&ppid=192895&vpid=115263359&ct=offers,
1,CC0402KRX7R7BB102,Yageo,CC0402KRX7R7BB102,https://octopart.com/cc0402krx7r7bb102-yageo-11543552,C16,0.001uF,MLCC,1,311-1352-1-ND,603-CC402KRX7R7BB102,Cut Tape,,0.0883502,0.0883502,690440,254397,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=05b935e&sid=2401&ppid=11543552&vpid=45059684&ct=offers,Digi-Key,311-1352-1-ND,Cut Tape,0.0883502,0.0883502,0.0883502,690440,1,https://octopart.com/click/track?ak=39ac400e&sig=0c44380&sid=459&ppid=11543552&vpid=34209634&ct=offers,
2,CC0402JRNPO9BN180,Yageo,CC0402JRNPO9BN180,https://octopart.com/cc0402jrnpo9bn180-yageo-9287405,"C20,C23",18pF,MLCC,2,311-1415-1-ND,603-CC402JRNPO9BN180,Cut Tape,Tape & Reel,0.0883502,0.0883502,800668,412417,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=065fa9f&sid=2401&ppid=9287405&vpid=112751514&ct=offers,Digi-Key,311-1415-1-ND,Cut Tape,0.0883502,0.1767004,0.1767004,800668,1,https://octopart.com/click/track?ak=39ac400e&sig=0e13429&sid=459&ppid=9287405&vpid=45699587&ct=offers,
5,CAY16-2201F4LF,Bourns,CAY16-2201F4LF,https://octopart.com/cay16-2201f4lf-bourns-2077373,"R1,R2,R3,R4,R6",2.2K,4 R-ARRAY,5,CAY16-2201F4LFCT-ND,652-CAY16-2201F4LF,Cut Tape,Tape & Reel,0.12369028000000001,0.0883502,23559,15893,1,1,https://octopart.com/click/track?ak=39ac400e&sig=0363771&sid=459&ppid=2077373&vpid=50630166&ct=offers,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,Mouser,652-CAY16-2201F4LF,Tape & Reel,0.0883502,0.441751,0.441751,15893,1,https://octopart.com/click/track?ak=39ac400e&sig=0bb5cbf&sid=2401&ppid=2077373&vpid=37824788&ct=offers,
5,CKCL44X7R1H102M085AA,TDK,CKCL44X7R1H102M085AA,https://octopart.com/ckcl44x7r1h102m085aa-tdk-25948008,"C3,C9,C11,C26,C34",0.001uF,4 CAP ARRAY,5,,,,,,,,,,,,,,,,,,,,
